MacroPlot,Site,Plot,Treatment,Year,Species,Status,UV1,Count
MBB6_Burn_Marin,Marin,MBB 06,Burn,2009,LUAL,L,I,3
MBB6_Burn_Marin,Marin,MBB 06,Burn,2009,LUAL,L,M,4
MBB6_Burn_Marin,Marin,MBB 06,Burn,2009,LUAL,L,I,1
MBB6_Burn_Marin,Marin,MBB 06,Burn,2009,LUAL,L,M,7
MBB6_Burn_Marin,Marin,MBB 06,Burn,2009,LUAL,L,M,3
MBB6_Burn_Marin,Marin,MBB 06,Burn,2009,LUAL,L,M,6
MBB6_Control_Marin,Marin,MBB 06,Control,2009,LUAL,L,M,5
MBB6_Control_Marin,Marin,MBB 06,Control,2009,LUAL,L,I,1
MBB6_Control_Marin,Marin,MBB 06,Control,2009,LUAL,L,M,2
MBB6_Control_Marin,Marin,MBB 06,Control,2009,LUAL,L,M,1
MBB6_Control_Marin,Marin,MBB 06,Control,2009,LUAL,L,M,3
MBB6_Control_Marin,Marin,MBB 06,Control,2009,LUAL,L,I,1
MBB6_Control_Marin,Marin,MBB 06,Control,2009,LUAL,L,M,5
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2009,LUAL,L,M,2
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2009,LUAL,L,I,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2009,LUAL,L,M,7
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2009,LUAL,L,M,4
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2009,LUAL,L,I,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2009,LUAL,L,M,4
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2009,LUAL,L,I,1
MBB6_Mechanical_Marin,Marin,MBB 06,Mechanical,2009,LUAL,L,M,16
MBB6_Burn_Marin,Marin,MBB 06,Burn,2010,LUAL,L,I,1
MBB6_Burn_Marin,Marin,MBB 06,Burn,2010,LUAL,L,M,2
MBB6_Burn_Marin,Marin,MBB 06,Burn,2010,LUAL,L,I,2
MBB6_Burn_Marin,Marin,MBB 06,Burn,2010,LUAL,L,M,6
