Year,MacroPlot,Treatment,Species,Lifecycle,Preferred_LF,Default_LF,Native,Invasive,Count
2009,MBB4_Burn_Milagra,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB4_Burn_Milagra,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB9_Control_Marin,CONTROL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2010,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2010,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2010,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2010,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2010,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2010,MBB9_Control_Marin,CONTROL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2010,MBB9_Control_Marin,CONTROL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2010,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2010,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2011,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2011,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2011,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2011,MBB9_Control_Marin,CONTROL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB9_Control_Marin,CONTROL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB9_Control_Marin,CONTROL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB2_Control_Milagra,CONTROL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB1_Control_Milagra,CONTROL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Control_Marin,CONTROL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Control_Marin,CONTROL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Burn_Marin,BURN,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB9_Mechanical_Marin,MECHANICAL,ACMI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB2_Burn_Milagra,BURN,ACPI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB4_Mechanical_Milagra,MECHANICAL,ACPI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB6_Control_Marin,CONTROL,ACPI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB5_Mechanical_Marin,MECHANICAL,ACPI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB5_Mechanical_Marin,MECHANICAL,ACPI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2011,MBB6_Control_Marin,CONTROL,ACPI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2012,MBB6_Control_Marin,CONTROL,ACPI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB6_Burn_Marin,BURN,ACPI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2013,MBB6_Control_Marin,CONTROL,ACPI,Perennial,Forb/Herb,Forb,TRUE,FALSE,1
2009,MBB6_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB6_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB6_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB6_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB6_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB6_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB6_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB6_Mechanical_Marin,MECHANICAL,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB6_Mechanical_Marin,MECHANICAL,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Mechanical_Marin,MECHANICAL,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Mechanical_Marin,MECHANICAL,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Mechanical_Marin,MECHANICAL,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Mechanical_Marin,MECHANICAL,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB9_Mechanical_Marin,MECHANICAL,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB5_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB5_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB5_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB5_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB5_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB5_Burn_Marin,BURN,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB5_Control_Marin,CONTROL,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
2009,MBB5_Control_Marin,CONTROL,AGROS,Annual,Graminoid,Grass,TRUE,FALSE,1
