MacroPlot,Plot,Treatment,Year,Species,Status,UV1,RowCount
MBB1_Burn_Milagra,1,B,2012,LUAL,D,,2
MBB1_Burn_Milagra,1,B,2013,LUAL,D,M,1
MBB1_Control_Milagra,1,C,2012,LUAL,D,,7
MBB1_Mechanical_Milagra,1,M,2012,LUAL,D,,13
MBB1_Mechanical_Milagra,1,M,2013,LUAL,D,,1
MBB10_Burn_Milagra,10,B,2012,LUAL,D,,8
MBB10_Burn_Milagra,10,B,2013,LUAL,D,I,6
MBB10_Burn_Milagra,10,B,2013,LUAL,D,M,5
MBB10_Control_Milagra,10,C,2012,LUAL,D,,9
MBB10_Control_Milagra,10,C,2012,LUVA,D,,1
MBB10_Control_Milagra,10,C,2013,LUAL,D,M,5
MBB10_Mechanical_Milagra,10,M,2012,LUAL,D,,15
MBB10_Mechanical_Milagra,10,M,2013,LUAL,D,M,7
MBB2_Burn_Milagra,2,B,2012,LUAL,D,,1
MBB2_Burn_Milagra,2,B,2012,LUVA,D,,6
MBB2_Burn_Milagra,2,B,2013,LUAL,D,,1
MBB2_Burn_Milagra,2,B,2013,LUAL,D,I,1
MBB2_Burn_Milagra,2,B,2013,LUAL,D,M,4
MBB2_Burn_Milagra,2,B,2013,LUVA,D,,1
MBB2_Burn_Milagra,2,B,2013,LUVA,D,I,1
MBB2_Burn_Milagra,2,B,2013,LUVA,D,M,1
MBB2_Control_Milagra,2,C,2012,LUAL,D,,1
MBB2_Control_Milagra,2,C,2012,LUVA,D,,2
MBB2_Mechanical_Milagra,2,M,2012,LUAL,D,,14
MBB2_Mechanical_Milagra,2,M,2012,LUVA,D,,5
MBB2_Mechanical_Milagra,2,M,2013,LUAL,D,M,10
MBB3_Burn_Milagra,3,B,2012,LUAL,D,,2
MBB3_Burn_Milagra,3,B,2013,LUAL,D,M,2
MBB3_Control_Milagra,3,C,2012,LUAL,D,,1
MBB3_Control_Milagra,3,C,2013,LUAL,D,,1
MBB3_Control_Milagra,3,C,2013,LUAL,D,M,1
MBB3_Mechanical_Milagra,3,M,2012,LUAL,D,,3
MBB3_Mechanical_Milagra,3,M,2013,LUAL,D,M,3
MBB6_Burn_Marin,6,B,2012,LUAL,D,,3
MBB6_Burn_Marin,6,B,2013,LUAL,D,M,3
MBB6_Control_Marin,6,C,2012,LUAL,D,,3
MBB6_Control_Marin,6,C,2013,LUAL,D,M,1
MBB6_Mechanical_Marin,6,M,2012,LUAL,D,,21
MBB6_Mechanical_Marin,6,M,2013,LUAL,D,M,3
MBB7_Burn_Marin,7,B,2012,LUAL,D,,5
MBB7_Burn_Marin,7,B,2013,LUAL,D,M,2
MBB7_Burn_Marin,7,B,2013,LUVA,D,M,2
MBB7_Control_Marin,7,C,2012,LUAL,D,,1
