MacroPlot,Plot,Treatment,Year,Species,Status,UV1,RowCount
MBB1_Burn_Milagra,1,B,2012,LUPIN,D,,2
MBB1_Burn_Milagra,1,B,2013,LUPIN,D,M,1
MBB1_Control_Milagra,1,C,2012,LUPIN,D,,7
MBB1_Mechanical_Milagra,1,M,2012,LUPIN,D,,13
MBB1_Mechanical_Milagra,1,M,2013,LUPIN,D,,1
MBB10_Burn_Milagra,10,B,2012,LUPIN,D,,8
MBB10_Burn_Milagra,10,B,2013,LUPIN,D,I,6
MBB10_Burn_Milagra,10,B,2013,LUPIN,D,M,5
MBB10_Control_Milagra,10,C,2012,LUPIN,D,,9
MBB10_Control_Milagra,10,C,2012,LUPIN,D,,1
MBB10_Control_Milagra,10,C,2013,LUPIN,D,M,5
MBB10_Mechanical_Milagra,10,M,2012,LUPIN,D,,15
MBB10_Mechanical_Milagra,10,M,2013,LUPIN,D,M,7
MBB2_Burn_Milagra,2,B,2012,LUPIN,D,,1
MBB2_Burn_Milagra,2,B,2012,LUPIN,D,,6
MBB2_Burn_Milagra,2,B,2013,LUPIN,D,,1
MBB2_Burn_Milagra,2,B,2013,LUPIN,D,I,1
MBB2_Burn_Milagra,2,B,2013,LUPIN,D,M,4
MBB2_Burn_Milagra,2,B,2013,LUPIN,D,,1
MBB2_Burn_Milagra,2,B,2013,LUPIN,D,I,1
MBB2_Burn_Milagra,2,B,2013,LUPIN,D,M,1
MBB2_Control_Milagra,2,C,2012,LUPIN,D,,1
MBB2_Control_Milagra,2,C,2012,LUPIN,D,,2
MBB2_Mechanical_Milagra,2,M,2012,LUPIN,D,,14
MBB2_Mechanical_Milagra,2,M,2012,LUPIN,D,,5
MBB2_Mechanical_Milagra,2,M,2013,LUPIN,D,M,10
MBB3_Burn_Milagra,3,B,2012,LUPIN,D,,2
MBB3_Burn_Milagra,3,B,2013,LUPIN,D,M,2
MBB3_Control_Milagra,3,C,2012,LUPIN,D,,1
MBB3_Control_Milagra,3,C,2013,LUPIN,D,,1
MBB3_Control_Milagra,3,C,2013,LUPIN,D,M,1
MBB3_Mechanical_Milagra,3,M,2012,LUPIN,D,,3
MBB3_Mechanical_Milagra,3,M,2013,LUPIN,D,M,3
MBB6_Burn_Marin,6,B,2012,LUPIN,D,,3
MBB6_Burn_Marin,6,B,2013,LUPIN,D,M,3
MBB6_Control_Marin,6,C,2012,LUPIN,D,,3
MBB6_Control_Marin,6,C,2013,LUPIN,D,M,1
MBB6_Mechanical_Marin,6,M,2012,LUPIN,D,,21
MBB6_Mechanical_Marin,6,M,2013,LUPIN,D,M,3
MBB7_Burn_Marin,7,B,2012,LUPIN,D,,5
MBB7_Burn_Marin,7,B,2013,LUPIN,D,M,2
MBB7_Burn_Marin,7,B,2013,LUPIN,D,M,2
MBB7_Control_Marin,7,C,2012,LUPIN,D,,1
MBB7_Control_Marin,7,C,2013,LUPIN,D,I,1
MBB7_Control_Marin,7,C,2013,LUPIN,D,M,1
MBB7_Mechanical_Marin,7,M,2012,LUPIN,D,,8
MBB7_Mechanical_Marin,7,M,2013,LUPIN,D,I,1
MBB7_Mechanical_Marin,7,M,2013,LUPIN,D,M,7
MBB8_Burn_Marin,8,B,2012,LUPIN,D,,11
MBB8_Burn_Marin,8,B,2013,LUPIN,D,I,3
MBB8_Burn_Marin,8,B,2013,LUPIN,D,M,4
MBB8_Control_Marin,8,C,2012,LUPIN,D,,7
MBB8_Control_Marin,8,C,2013,LUPIN,D,M,2
MBB8_Mechanical_Marin,8,M,2012,LUPIN,D,,7
MBB8_Mechanical_Marin,8,M,2012,LUPIN,D,M,1
MBB8_Mechanical_Marin,8,M,2013,LUPIN,D,I,2
MBB8_Mechanical_Marin,8,M,2013,LUPIN,D,M,11
MBB9_Burn_Marin,9,B,2012,LUPIN,D,,2
MBB9_Burn_Marin,9,B,2013,LUPIN,D,M,4
MBB9_Control_Marin,9,C,2012,LUPIN,D,,3
MBB9_Control_Marin,9,C,2012,LUPIN,D,,1
MBB9_Control_Marin,9,C,2013,LUPIN,D,M,1
MBB1_Burn_Milagra,1,B,2011,LUPIN,L,I,9
MBB1_Burn_Milagra,1,B,2011,LUPIN,L,M,35
MBB1_Burn_Milagra,1,B,2012,LUPIN,L,M,43
MBB1_Burn_Milagra,1,B,2013,LUPIN,L,I,25
MBB1_Burn_Milagra,1,B,2013,LUPIN,L,M,42
MBB1_Control_Milagra,1,C,2011,LUPIN,L,I,13
MBB1_Control_Milagra,1,C,2011,LUPIN,L,M,29
MBB1_Control_Milagra,1,C,2012,LUPIN,L,I,1
MBB1_Control_Milagra,1,C,2012,LUPIN,L,M,35
MBB1_Control_Milagra,1,C,2013,LUPIN,L,I,4
MBB1_Control_Milagra,1,C,2013,LUPIN,L,M,35
MBB1_Mechanical_Milagra,1,M,2011,LUPIN,L,I,53
MBB1_Mechanical_Milagra,1,M,2011,LUPIN,L,M,16
MBB1_Mechanical_Milagra,1,M,2012,LUPIN,L,I,3
MBB1_Mechanical_Milagra,1,M,2012,LUPIN,L,M,57
MBB1_Mechanical_Milagra,1,M,2013,LUPIN,L,I,15
MBB1_Mechanical_Milagra,1,M,2013,LUPIN,L,M,55
MBB1_Burn_Milagra,1,B,2012,LUPIN,L,I,0
MBB1_Burn_Milagra,1,B,2010,LUPIN,L,M,26
MBB1_Burn_Milagra,1,B,2010,LUPIN,L,I,6
MBB1_Control_Milagra,1,C,2010,LUPIN,L,M,10
MBB1_Control_Milagra,1,C,2010,LUPIN,L,I,19
MBB1_Mechanical_Milagra,1,M,2010,LUPIN,L,M,15
MBB1_Mechanical_Milagra,1,M,2010,LUPIN,L,I,10
MBB2_Burn_Milagra,2,B,2011,LUPIN,L,I,19
MBB2_Burn_Milagra,2,B,2011,LUPIN,L,M,37
MBB2_Burn_Milagra,2,B,2012,LUPIN,L,I,4
MBB2_Burn_Milagra,2,B,2012,LUPIN,L,M,50
MBB2_Burn_Milagra,2,B,2013,LUPIN,L,I,18
