Site,MacroPlot,Year,Species,Scientific_Name,Count
Milagra,MBB1_Burn_Milagra,2009,NAPU,Nassella pulchra,48
Milagra,MBB1_Burn_Milagra,2009,ARCA,Artemisia californica,16
Milagra,MBB1_Burn_Milagra,2009,BAPI,Baccharis pilularis,15
Milagra,MBB1_Burn_Milagra,2009,LITT,litter,12
Milagra,MBB1_Burn_Milagra,2009,LUAL,Lupinus albifrons var. collinus,11
Milagra,MBB1_Burn_Milagra,2009,PLLA,Plantago lanceolata,6
Milagra,MBB1_Burn_Milagra,2009,ANAR,Anagallis arvensis,5
Milagra,MBB1_Burn_Milagra,2009,BARE,bare ground; no vegetation,4
Milagra,MBB1_Burn_Milagra,2009,ERLA,Eriogonum latifolium,2
Milagra,MBB1_Burn_Milagra,2009,LOPE,Lolium perenne,2
Milagra,MBB1_Burn_Milagra,2009,CAAF,Castilleja affinis ssp. neglecta,1
Milagra,MBB1_Burn_Milagra,2009,SIGA,Silene gallica,1
Milagra,MBB1_Burn_Milagra,2009,VUBR,Vulpia bromoides,1
Milagra,MBB1_Burn_Milagra,2010,NAPU,Nassella pulchra,56
Milagra,MBB1_Burn_Milagra,2010,VUBR,Vulpia bromoides,22
Milagra,MBB1_Burn_Milagra,2010,BAPI,Baccharis pilularis,17
Milagra,MBB1_Burn_Milagra,2010,LOMU,Lolium multiflorum,17
Milagra,MBB1_Burn_Milagra,2010,LUAL,Lupinus albifrons var. collinus,16
Milagra,MBB1_Burn_Milagra,2010,PLLA,Plantago lanceolata,16
Milagra,MBB1_Burn_Milagra,2010,ARCA,Artemisia californica,14
Milagra,MBB1_Burn_Milagra,2010,BRCA,Bromus carinatus,8
Milagra,MBB1_Burn_Milagra,2010,GAAP,Galium aparine,8
Milagra,MBB1_Burn_Milagra,2010,ERCI,Erodium cicutarium,6
Milagra,MBB1_Burn_Milagra,2010,LOPE,Lolium perenne,3
Milagra,MBB1_Burn_Milagra,2010,ANAR,Anagallis arvensis,2
Milagra,MBB1_Burn_Milagra,2010,DAPU,Daucus pusillus,2
Milagra,MBB1_Burn_Milagra,2010,ERLA,Eriogonum latifolium,2
Milagra,MBB1_Burn_Milagra,2010,FIGA,Filago gallica,2
Milagra,MBB1_Burn_Milagra,2010,HYGL,Hypochaeris glabra,2
Milagra,MBB1_Burn_Milagra,2010,BARE,bare ground; no vegetation,1
Milagra,MBB1_Burn_Milagra,2010,MADIA,Madia,1
Milagra,MBB1_Burn_Milagra,2011,NASSE,Nassella species unknown,42
Milagra,MBB1_Burn_Milagra,2011,VUBR,Vulpia bromoides,39
Milagra,MBB1_Burn_Milagra,2011,LOMU,Lolium multiflorum,19
Milagra,MBB1_Burn_Milagra,2011,ANAR,Anagallis arvensis,17
Milagra,MBB1_Burn_Milagra,2011,PLLA,Plantago lanceolata,12
Milagra,MBB1_Burn_Milagra,2011,LUAL,Lupinus albifrons var. collinus,11
Milagra,MBB1_Burn_Milagra,2011,ARCA,Artemisia californica,8
Milagra,MBB1_Burn_Milagra,2011,ERCI,Erodium cicutarium,6
Milagra,MBB1_Burn_Milagra,2011,LITT,litter,6
Milagra,MBB1_Burn_Milagra,2011,BRCA,Bromus carinatus,4
Milagra,MBB1_Burn_Milagra,2011,BAPI,Baccharis pilularis,3
Milagra,MBB1_Burn_Milagra,2011,BARE,bare ground; no vegetation,3
Milagra,MBB1_Burn_Milagra,2011,ELGL,Elymus glaucus,2
Milagra,MBB1_Burn_Milagra,2011,FIGA,Filago gallica,2
Milagra,MBB1_Burn_Milagra,2011,AVBA,Avena barbata,1
Milagra,MBB1_Burn_Milagra,2011,DAPU,Daucus pusillus,1
Milagra,MBB1_Burn_Milagra,2011,ERLA,Eriogonum latifolium,1
Milagra,MBB1_Burn_Milagra,2011,GAAP,Galium aparine,1
Milagra,MBB1_Burn_Milagra,2012,NASSE,Nassella species unknown,63
Milagra,MBB1_Burn_Milagra,2012,PLLA,Plantago lanceolata,23
