PLOT,SITE,TREATMENT,NON-NATIVE,NATIVE,TOTAL,PER_NATIVE,YEAR,DIFFERENCE
1,Milagra,Burn,71,124,195,0.635897436,2010,-0.225785076
1,Milagra,aControl,63,117,180,0.65,2010,-0.041959799
1,Milagra,Mech,84,111,195,0.569230769,2010,-0.366918631
2,Milagra,Burn,31,138,169,0.816568047,2010,-0.224211359
2,Milagra,aControl,32,133,165,0.806060606,2010,-0.025840826
2,Milagra,Mech,49,127,176,0.721590909,2010,-0.310198504
3,Milagra,Burn,53,111,164,0.676829268,2010,-0.237940379
3,Milagra,aControl,53,113,166,0.680722892,2010,-0.077274616
3,Milagra,Mech,54,126,180,0.7,2010,-0.310526316
6,Marin,Burn,51,125,176,0.710227273,2010,-0.317557116
6,Marin,aControl,75,109,184,0.592391304,2010,-0.134496568
6,Marin,Mech,120,92,212,0.433962264,2010,-0.250288795
7,Marin,Burn,51,131,182,0.71978022,2010,-0.471916972
7,Marin,aControl,117,142,259,0.548262548,2010,-0.061273701
7,Marin,Mech,144,119,263,0.452471483,2010,-0.139038647
8,Marin,Burn,156,125,281,0.444839858,2010,-0.149273355
8,Marin,aControl,109,129,238,0.542016807,2010,-0.021104259
8,Marin,Mech,141,140,281,0.498220641,2010,-0.320915676
9,Marin,Burn,78,164,242,0.67768595,2010,-0.179743564
9,Marin,aControl,58,160,218,0.733944954,2010,-0.165056065
9,Marin,Mech,63,150,213,0.704225352,2010,-0.426914428
10,Milagra,Burn,142,114,256,0.4453125,2010,-0.140714799
10,Milagra,aControl,135,89,224,0.397321429,2010,-0.063988095
10,Milagra,Mech,105,48,153,0.31372549,2010,-0.105671799
1,Milagra,Burn,105,73,178,0.41011236,2011,
1,Milagra,aControl,78,121,199,0.608040201,2011,
1,Milagra,Mech,138,35,173,0.202312139,2011,
2,Milagra,Burn,64,93,157,0.592356688,2011,
2,Milagra,aControl,40,142,182,0.78021978,2011,
2,Milagra,Mech,93,65,158,0.411392405,2011,
3,Milagra,Burn,101,79,180,0.438888889,2011,
3,Milagra,aControl,69,105,174,0.603448276,2011,
3,Milagra,Mech,116,74,190,0.389473684,2011,
6,Marin,Burn,116,75,191,0.392670157,2011,
6,Marin,aControl,103,87,190,0.457894737,2011,
6,Marin,Mech,160,36,196,0.183673469,2011,
7,Marin,Burn,176,58,234,0.247863248,2011,
7,Marin,aControl,138,131,269,0.486988848,2011,
7,Marin,Mech,138,63,201,0.313432836,2011,
8,Marin,Burn,143,60,203,0.295566502,2011,
8,Marin,aControl,126,137,263,0.520912548,2011,
8,Marin,Mech,232,50,282,0.177304965,2011,
9,Marin,Burn,122,121,243,0.497942387,2011,
9,Marin,aControl,97,128,225,0.568888889,2011,
9,Marin,Mech,172,66,238,0.277310924,2011,
10,Milagra,Burn,121,53,174,0.304597701,2011,
10,Milagra,aControl,116,58,174,0.333333333,2011,
10,Milagra,Mech,118,31,149,0.208053691,2011,
