"","MacroPlot","Year","Trt_Status","Site","Plot","Treatment","yr_trt","yearly_rain","Total_Lupin","Year.numeric","Year_Time_since_trt","Total_Count"
"1","MBB1_Burn_Milagra","2009","before","Milagra","1","BURN","2009 _ BURN",29.08,11,2009,-2,108
"2","MBB1_Burn_Milagra","2010","before","Milagra","1","BURN","2010 _ BURN",42.65,16,2010,-1,194
"3","MBB1_Burn_Milagra","2011","after","Milagra","1","BURN","2011 _ BURN",50.91,11,2011,0,169
"4","MBB1_Burn_Milagra","2012","after","Milagra","1","BURN","2012 _ BURN",28.01,19,2012,1,159
"5","MBB1_Burn_Milagra","2013","after","Milagra","1","BURN","2013 _ BURN",26.13,28,2013,2,218
"6","MBB1_Control_Milagra","2009","before","Milagra","1","CONTROL","2009 _ CONTROL",29.08,4,2009,-2,141
"7","MBB1_Control_Milagra","2010","before","Milagra","1","CONTROL","2010 _ CONTROL",42.65,1,2010,-1,177
"8","MBB1_Control_Milagra","2011","after","Milagra","1","CONTROL","2011 _ CONTROL",50.91,4,2011,0,196
"9","MBB1_Control_Milagra","2012","after","Milagra","1","CONTROL","2012 _ CONTROL",28.01,4,2012,1,142
"10","MBB1_Control_Milagra","2013","after","Milagra","1","CONTROL","2013 _ CONTROL",26.13,6,2013,2,193
"11","MBB1_Mechanical_Milagra","2009","before","Milagra","1","MECHANICAL","2009 _ MECHANICAL",29.08,2,2009,-2,99
"12","MBB1_Mechanical_Milagra","2010","before","Milagra","1","MECHANICAL","2010 _ MECHANICAL",42.65,2,2010,-1,190
"13","MBB1_Mechanical_Milagra","2011","after","Milagra","1","MECHANICAL","2011 _ MECHANICAL",50.91,2,2011,0,168
"14","MBB1_Mechanical_Milagra","2012","after","Milagra","1","MECHANICAL","2012 _ MECHANICAL",28.01,3,2012,1,151
"15","MBB1_Mechanical_Milagra","2013","after","Milagra","1","MECHANICAL","2013 _ MECHANICAL",26.13,5,2013,2,187
"16","MBB10_Burn_Milagra","2010","before","Milagra","10","BURN","2010 _ BURN",42.65,1,2010,-1,213
"17","MBB10_Burn_Milagra","2011","after","Milagra","10","BURN","2011 _ BURN",50.91,2,2011,0,160
"18","MBB10_Burn_Milagra","2012","after","Milagra","10","BURN","2012 _ BURN",28.01,2,2012,1,137
"19","MBB10_Burn_Milagra","2013","after","Milagra","10","BURN","2013 _ BURN",26.13,3,2013,2,141
"20","MBB10_Control_Milagra","2010","before","Milagra","10","CONTROL","2010 _ CONTROL",42.65,3,2010,-1,186
"21","MBB10_Control_Milagra","2011","after","Milagra","10","CONTROL","2011 _ CONTROL",50.91,7,2011,0,150
"22","MBB10_Control_Milagra","2012","after","Milagra","10","CONTROL","2012 _ CONTROL",28.01,6,2012,1,122
"23","MBB10_Control_Milagra","2013","after","Milagra","10","CONTROL","2013 _ CONTROL",26.13,8,2013,2,132
"24","MBB10_Mechanical_Milagra","2010","before","Milagra","10","MECHANICAL","2010 _ MECHANICAL",42.65,3,2010,-1,136
"25","MBB10_Mechanical_Milagra","2011","after","Milagra","10","MECHANICAL","2011 _ MECHANICAL",50.91,2,2011,0,134
"26","MBB10_Mechanical_Milagra","2012","after","Milagra","10","MECHANICAL","2012 _ MECHANICAL",28.01,4,2012,1,103
"27","MBB10_Mechanical_Milagra","2013","after","Milagra","10","MECHANICAL","2013 _ MECHANICAL",26.13,4,2013,2,131
"28","MBB2_Burn_Milagra","2009","before","Milagra","2","BURN","2009 _ BURN",29.08,7,2009,-2,119
"29","MBB2_Burn_Milagra","2010","before","Milagra","2","BURN","2010 _ BURN",42.65,12,2010,-1,163
"30","MBB2_Burn_Milagra","2011","after","Milagra","2","BURN","2011 _ BURN",50.91,3,2011,0,150
"31","MBB2_Burn_Milagra","2012","after","Milagra","2","BURN","2012 _ BURN",28.01,7,2012,1,143
"32","MBB2_Burn_Milagra","2013","after","Milagra","2","BURN","2013 _ BURN",26.13,6,2013,2,172
"33","MBB2_Control_Milagra","2009","before","Milagra","2","CONTROL","2009 _ CONTROL",29.08,2,2009,-2,129
