"Group","Type","Fixed_Effect","Mean","Lower_CI","Upper_CI","test2"
"Census","2009","BurnBefore",0.21,0.134943695705329,0.302915379350541,"2009_BurnBefore"
"Census","2009","MechBefore",0.18,0.110311229153261,0.269477085966812,"2009_MechBefore"
"Census","2011","BurnAfter",0.19,0.118443196132544,0.280697957973613,"2011_BurnAfter"
"Census","2011","MechAfter",0.17,0.102264910035528,0.258175410632159,"2011_MechAfter"
"Census","2012","BurnAfter",0.16,0.0943102899739462,0.246787597410862,"2012_BurnAfter"
"Census","2012","MechAfter",0.18,0.110311229153261,0.269477085966812,"2012_MechAfter"
"Census","2013","BurnAfter",0.22,0.143303576749815,0.313919653786318,"2013_BurnAfter"
"Census","2013","MechAfter",0.24,0.160224613171447,0.335735489270998,"2013_MechAfter"
"Census","2015","BurnAfter",0.2,0.126655552101956,0.291842689088628,"2015_BurnAfter"
"Census","2015","MechAfter",0.17,0.102264910035528,0.258175410632159,"2015_MechAfter"
"Immature","2009","BurnBefore",0.09,0.0419835956283923,0.163982255029635,"2009_BurnBefore"
"Immature","2009","MechBefore",0.09,0.0419835956283923,0.163982255029635,"2009_MechBefore"
"Immature","2011","BurnAfter",0.11,0.0562070202854874,0.188301132196443,"2011_BurnAfter"
"Immature","2011","MechAfter",0.14,0.0787054049269658,0.223727981370568,"2011_MechAfter"
"Immature","2012","BurnAfter",0.17,0.102264910035528,0.258175410632159,"2012_BurnAfter"
"Immature","2012","MechAfter",0.11,0.0562070202854874,0.188301132196443,"2012_MechAfter"
"Immature","2013","BurnAfter",0.14,0.0787054049269658,0.223727981370568,"2013_BurnAfter"
"Immature","2013","MechAfter",0.15,0.0864543856416485,0.235307500148955,"2013_MechAfter"
"Immature","2015","BurnAfter",0.09,0.0419835956283923,0.163982255029635,"2015_BurnAfter"
"Immature","2015","MechAfter",0.18,0.110311229153261,0.269477085966812,"2015_MechAfter"
"NatHerb","2009","BurnBefore",1,0.963783307354824,1,"2009_BurnBefore"
"NatHerb","2009","MechBefore",1,0.963783307354824,1,"2009_MechBefore"
"NatHerb","2011","BurnAfter",1,0.963783307354824,1,"2011_BurnAfter"
"NatHerb","2011","MechAfter",1,0.963783307354824,1,"2011_MechAfter"
"NatHerb","2012","BurnAfter",1,0.963783307354824,1,"2012_BurnAfter"
"NatHerb","2012","MechAfter",1,0.963783307354824,1,"2012_MechAfter"
"NatHerb","2013","BurnAfter",1,0.963783307354824,1,"2013_BurnAfter"
"NatHerb","2013","MechAfter",1,0.963783307354824,1,"2013_MechAfter"
"NatHerb","2015","BurnAfter",1,0.963783307354824,1,"2015_BurnAfter"
"NatHerb","2015","MechAfter",1,0.963783307354824,1,"2015_MechAfter"
"ExoHerb","2009","BurnBefore",0.98,0.92961606752893,0.997568663176057,"2009_BurnBefore"
"ExoHerb","2009","MechBefore",0.95,0.887165088894537,0.983568120817948,"2009_MechBefore"
"ExoHerb","2011","BurnAfter",1,0.963783307354824,1,"2011_BurnAfter"
"ExoHerb","2011","MechAfter",1,0.963783307354824,1,"2011_MechAfter"
"ExoHerb","2012","BurnAfter",1,0.963783307354824,1,"2012_BurnAfter"
"ExoHerb","2012","MechAfter",1,0.963783307354824,1,"2012_MechAfter"
"ExoHerb","2013","BurnAfter",1,0.963783307354824,1,"2013_BurnAfter"
"ExoHerb","2013","MechAfter",1,0.963783307354824,1,"2013_MechAfter"
"ExoHerb","2015","BurnAfter",0.99,0.945540614607919,0.999746853967023,"2015_BurnAfter"
"ExoHerb","2015","MechAfter",1,0.963783307354824,1,"2015_MechAfter"
"Shrub","2009","BurnBefore",0.95,0.887165088894537,0.983568120817948,"2009_BurnBefore"
"Shrub","2009","MechBefore",0.95,0.887165088894537,0.983568120817948,"2009_MechBefore"
"Shrub","2011","BurnAfter",0.98,0.92961606752893,0.997568663176057,"2011_BurnAfter"
"Shrub","2011","MechAfter",0.92,0.848442364135579,0.964828437481837,"2011_MechAfter"
"Shrub","2012","BurnAfter",0.97,0.91482394702572,0.993770028461694,"2012_BurnAfter"
"Shrub","2012","MechAfter",0.94,0.873970065419177,0.977665113928684,"2012_MechAfter"
"Shrub","2013","BurnAfter",0.98,0.92961606752893,0.997568663176057,"2013_BurnAfter"
"Shrub","2013","MechAfter",0.93,0.861080271544143,0.971394711092561,"2013_MechAfter"
"Shrub","2015","BurnAfter",0.99,0.945540614607919,0.999746853967023,"2015_BurnAfter"
"Shrub","2015","MechAfter",0.97,0.91482394702572,0.993770028461694,"2015_MechAfter"
