"Model_Name","Group","Type","Fixed_Effect","Mean","Lower_CI","Upper_CI","test2"
"P2_Lupine_2009_BurnBefore","Lupine","2009","BurnBefore",0.21,0.134943695705329,0.302915379350541,"2009_BurnBefore"
"P2_Lupine_2009_MechBefore","Lupine","2009","MechBefore",0.29,0.203574189250732,0.389265958907448,"2009_MechBefore"
"P2_Lupine_2011_BurnAfter","Lupine","2011","BurnAfter",0.3,0.212406420489537,0.399814676179804,"2011_BurnAfter"
"P2_Lupine_2011_MechAfter","Lupine","2011","MechAfter",0.28,0.194793627491181,0.378667004717267,"2011_MechAfter"
"P2_Lupine_2012_BurnAfter","Lupine","2012","BurnAfter",0.26,0.177394437867653,0.357312063100104,"2012_BurnAfter"
"P2_Lupine_2012_MechAfter","Lupine","2012","MechAfter",0.24,0.160224613171447,0.335735489270998,"2012_MechAfter"
"P2_Lupine_2013_BurnAfter","Lupine","2013","BurnAfter",0.27,0.186066422290741,0.368016272908975,"2013_BurnAfter"
"P2_Lupine_2013_MechAfter","Lupine","2013","MechAfter",0.25,0.168779738099342,0.346552495758808,"2013_MechAfter"
"P2_Lupine_2015_BurnAfter","Lupine","2015","BurnAfter",0.3,0.212406420489537,0.399814676179804,"2015_BurnAfter"
"P2_Lupine_2015_MechAfter","Lupine","2015","MechAfter",0.14,0.0787054049269658,0.223727981370568,"2015_MechAfter"
"P2_Native_2009_BurnBefore","Native","2009","BurnBefore",0.98,0.92961606752893,0.997568663176057,"2009_BurnBefore"
"P2_Native_2009_MechBefore","Native","2009","MechBefore",1,0.963783307354824,1,"2009_MechBefore"
"P2_Native_2011_BurnAfter","Native","2011","BurnAfter",0.65,0.54815063817603,0.742706221468549,"2011_BurnAfter"
"P2_Native_2011_MechAfter","Native","2011","MechAfter",0.4,0.303294768702878,0.502790849577665,"2011_MechAfter"
"P2_Native_2012_BurnAfter","Native","2012","BurnAfter",0.75,0.653447504241192,0.831220261900658,"2012_BurnAfter"
"P2_Native_2012_MechAfter","Native","2012","MechAfter",0.23,0.151731611301048,0.324858732775103,"2012_MechAfter"
"P2_Native_2013_BurnAfter","Native","2013","BurnAfter",0.85,0.764692499851045,0.913545614358351,"2013_BurnAfter"
"P2_Native_2013_MechAfter","Native","2013","MechAfter",0.49,0.388644165161638,0.591963670844546,"2013_MechAfter"
"P2_Native_2015_BurnAfter","Native","2015","BurnAfter",0.75,0.653447504241192,0.831220261900658,"2015_BurnAfter"
"P2_Native_2015_MechAfter","Native","2015","MechAfter",0.68,0.579233138368377,0.769780083238423,"2015_MechAfter"
"P2_Invasive_2009_BurnBefore","Invasive","2009","BurnBefore",0.91,0.836017744970365,0.958016404371608,"2009_BurnBefore"
"P2_Invasive_2009_MechBefore","Invasive","2009","MechBefore",0.9,0.823777402259977,0.950995310778514,"2009_MechBefore"
"P2_Invasive_2011_BurnAfter","Invasive","2011","BurnAfter",1,0.963783307354824,1,"2011_BurnAfter"
"P2_Invasive_2011_MechAfter","Invasive","2011","MechAfter",1,0.963783307354824,1,"2011_MechAfter"
"P2_Invasive_2012_BurnAfter","Invasive","2012","BurnAfter",1,0.963783307354824,1,"2012_BurnAfter"
"P2_Invasive_2012_MechAfter","Invasive","2012","MechAfter",1,0.963783307354824,1,"2012_MechAfter"
"P2_Invasive_2013_BurnAfter","Invasive","2013","BurnAfter",1,0.963783307354824,1,"2013_BurnAfter"
"P2_Invasive_2013_MechAfter","Invasive","2013","MechAfter",1,0.963783307354824,1,"2013_MechAfter"
"P2_Invasive_2015_BurnAfter","Invasive","2015","BurnAfter",1,0.963783307354824,1,"2015_BurnAfter"
"P2_Invasive_2015_MechAfter","Invasive","2015","MechAfter",1,0.963783307354824,1,"2015_MechAfter"
"P2_Shrub_2009_BurnBefore","Shrub","2009","BurnBefore",0.77,0.675141267224897,0.848268388698952,"2009_BurnBefore"
"P2_Shrub_2009_MechBefore","Shrub","2009","MechBefore",0.9,0.823777402259977,0.950995310778514,"2009_MechBefore"
"P2_Shrub_2011_BurnAfter","Shrub","2011","BurnAfter",0.68,0.579233138368377,0.769780083238423,"2011_BurnAfter"
"P2_Shrub_2011_MechAfter","Shrub","2011","MechAfter",0.78,0.686080346213682,0.856696423250185,"2011_MechAfter"
"P2_Shrub_2012_BurnAfter","Shrub","2012","BurnAfter",0.49,0.388644165161638,0.591963670844546,"2012_BurnAfter"
"P2_Shrub_2012_MechAfter","Shrub","2012","MechAfter",0.79,0.697084620649459,0.865056304294671,"2012_MechAfter"
"P2_Shrub_2013_BurnAfter","Shrub","2013","BurnAfter",0.58,0.477119195723914,0.678014460645203,"2013_BurnAfter"
"P2_Shrub_2013_MechAfter","Shrub","2013","MechAfter",0.78,0.686080346213682,0.856696423250185,"2013_MechAfter"
"P2_Shrub_2015_BurnAfter","Shrub","2015","BurnAfter",0.57,0.467133738324846,0.668608983368617,"2015_BurnAfter"
"P2_Shrub_2015_MechAfter","Shrub","2015","MechAfter",0.82,0.730522914033188,0.88968877084674,"2015_MechAfter"
