"Group","Type","Fixed_Effect","Mean","Lower_CI","Upper_CI"
"Lupine","PrePost","MechAfter",0.3,0.0667395111777345,0.652452850059997
"Lupine","PrePost","BurnAfter",0.4,0.121552258119827,0.737621923393055
"Lupine","PrePost","Rain",1,0.691502892181239,1
"Lupine","2010","BurnAfter",0.2,0.0252107263268334,0.556095462307641
"Lupine","2010","MechAfter",0,0,0.308497107818761
"Lupine","2011","BurnAfter",0.9,0.554983882971805,0.997471421455538
"Lupine","2011","MechAfter",1,0.691502892181239,1
"Lupine","2012","BurnAfter",1,0.691502892181239,1
"Lupine","2012","MechAfter",1,0.691502892181239,1
"Lupine","2013","BurnAfter",0.6,0.262378076606945,0.878447741880173
"Lupine","2013","MechAfter",0.7,0.347547149940003,0.933260488822266
"Native","PrePost","MechAfter",1,0.691502892181239,1
"Native","PrePost","BurnAfter",1,0.691502892181239,1
"Native","PrePost","Rain",1,0.691502892181239,1
"Native","2010","BurnAfter",0,0,0.308497107818761
"Native","2010","MechAfter",0,0,0.308497107818761
"Native","2011","BurnAfter",1,0.691502892181239,1
"Native","2011","MechAfter",1,0.691502892181239,1
"Native","2012","BurnAfter",0.5,0.187086028447399,0.812913971552601
"Native","2012","MechAfter",1,0.691502892181239,1
"Native","2013","BurnAfter",0.7,0.347547149940003,0.933260488822266
"Native","2013","MechAfter",1,0.691502892181239,1
"Invasive","PrePost","MechAfter",1,0.691502892181239,1
"Invasive","PrePost","BurnAfter",1,0.691502892181239,1
"Invasive","PrePost","Rain",1,0.691502892181239,1
"Invasive","2010","BurnAfter",0,0,0.308497107818761
"Invasive","2010","MechAfter",0.2,0.0252107263268334,0.556095462307641
"Invasive","2011","BurnAfter",0.7,0.347547149940003,0.933260488822266
"Invasive","2011","MechAfter",1,0.691502892181239,1
"Invasive","2012","BurnAfter",0.8,0.443904537692359,0.974789273673167
"Invasive","2012","MechAfter",1,0.691502892181239,1
"Invasive","2013","BurnAfter",0.8,0.443904537692359,0.974789273673167
"Invasive","2013","MechAfter",1,0.691502892181239,1
"Shrub","PrePost","MechAfter",1,0.691502892181239,1
"Shrub","PrePost","BurnAfter",1,0.691502892181239,1
"Shrub","PrePost","Rain",1,0.691502892181239,1
"Shrub","2010","BurnAfter",0.6,0.262378076606945,0.878447741880173
"Shrub","2010","MechAfter",0.9,0.554983882971805,0.997471421455538
"Shrub","2011","BurnAfter",1,0.691502892181239,1
"Shrub","2011","MechAfter",1,0.691502892181239,1
"Shrub","2012","BurnAfter",1,0.691502892181239,1
"Shrub","2012","MechAfter",1,0.691502892181239,1
"Shrub","2013","BurnAfter",0.9,0.554983882971805,0.997471421455538
"Shrub","2013","MechAfter",1,0.691502892181239,1
