"Group","Type","Fixed_Effect","Mean","Lower_CI","Upper_CI","test2"
"Census",2009,"BurnBefore",0.21,0.134943695705329,0.302915379350541,"2009_BurnBefore"
"Census",2009,"MechBefore",0.18,0.110311229153261,0.269477085966812,"2009_MechBefore"
"Census",2011,"BurnAfter",0.18,0.110311229153261,0.269477085966812,"2011_BurnAfter"
"Census",2011,"MechAfter",0.26,0.177394437867653,0.357312063100104,"2011_MechAfter"
"Census",2012,"BurnAfter",0.18,0.110311229153261,0.269477085966812,"2012_BurnAfter"
"Census",2012,"MechAfter",0.11,0.0562070202854874,0.188301132196443,"2012_MechAfter"
"Census",2013,"BurnAfter",0.15,0.0864543856416485,0.235307500148955,"2013_BurnAfter"
"Census",2013,"MechAfter",0.2,0.126655552101956,0.291842689088628,"2013_MechAfter"
"Census",2015,"BurnAfter",0.21,0.134943695705329,0.302915379350541,"2015_BurnAfter"
"Census",2015,"MechAfter",0.17,0.102264910035528,0.258175410632159,"2015_MechAfter"
"Immature",2009,"BurnBefore",0.18,0.110311229153261,0.269477085966812,"2009_BurnBefore"
"Immature",2009,"MechBefore",0.08,0.0351715625181628,0.151557635864421,"2009_MechBefore"
"Immature",2011,"BurnAfter",0.61,0.507314479632364,0.705989585146583,"2011_BurnAfter"
"Immature",2011,"MechAfter",1,0.963783307354824,1,"2011_MechAfter"
"Immature",2012,"BurnAfter",0.46,0.359843352979412,0.562588420133529,"2012_BurnAfter"
"Immature",2012,"MechAfter",0.83,0.741824589367841,0.897735089964472,"2012_MechAfter"
"Immature",2013,"BurnAfter",0.69,0.589685445839801,0.778711207869329,"2013_BurnAfter"
"Immature",2013,"MechAfter",0.18,0.110311229153261,0.269477085966812,"2013_MechAfter"
"Immature",2015,"BurnAfter",0.24,0.160224613171447,0.335735489270998,"2015_BurnAfter"
"Immature",2015,"MechAfter",0.16,0.0943102899739462,0.246787597410862,"2015_MechAfter"
